Customer ID,Country,Total Spending,Frequency,First Purchase,Last Purchase,Tenure,Segment,Churn
12346.0,United Kingdom,372.86,11,2009-12-14 08:34:00,2010-06-28 13:53:00,196,Cant Loose,1
12347.0,Iceland,1323.32,2,2010-10-31 14:20:00,2010-12-07 14:57:00,37,Potential Loyalists,0
12348.0,Finland,222.16,1,2010-09-27 14:59:00,2010-09-27 14:59:00,0,Hibernating,0
12349.0,Italy,2671.14,3,2010-04-29 13:20:00,2010-10-28 08:23:00,181,Need Attention,0
12351.0,Unspecified,300.93,1,2010-11-29 15:23:00,2010-11-29 15:23:00,0,New Customers,0
12352.0,Norway,343.8,2,2010-11-12 10:20:00,2010-11-29 10:07:00,16,Potential Loyalists,0
12353.0,Bahrain,317.76,1,2010-10-27 12:44:00,2010-10-27 12:44:00,0,About to Sleep,0
12355.0,Bahrain,488.21000000000004,1,2010-05-21 11:59:00,2010-05-21 11:59:00,0,Hibernating,1
12356.0,Portugal,3562.25,3,2010-10-11 09:42:00,2010-11-24 12:24:00,44,Potential Loyalists,0
12357.0,Switzerland,12079.99,2,2010-11-16 10:05:00,2010-11-16 14:29:00,0,Potential Loyalists,0
12358.0,Austria,2719.01,3,2009-12-08 07:59:00,2010-11-29 10:56:00,356,Potential Loyalists,0
12359.0,Cyprus,2563.36,6,2009-12-05 13:32:00,2010-10-10 11:16:00,308,Loyal Customers,0
12360.0,Austria,1590.83,5,2010-02-22 09:32:00,2010-11-25 11:04:00,276,Champions,0
12361.0,Belgium,321.35,3,2010-01-26 14:37:00,2010-09-03 15:19:00,220,At Risk,1
12362.0,Belgium,130.0,1,2009-12-01 10:10:00,2009-12-01 10:10:00,0,Hibernating,1
12366.0,Cyprus,500.24,1,2010-03-16 10:28:00,2010-03-16 10:28:00,0,Hibernating,1
12368.0,Cyprus,917.6999999999999,1,2010-03-21 15:56:00,2010-03-21 15:56:00,0,Hibernating,1
12369.0,Austria,1791.15,3,2010-03-08 08:09:00,2010-10-22 13:13:00,228,Need Attention,0
12370.0,Austria,774.62,3,2010-02-09 09:41:00,2010-03-25 12:10:00,44,At Risk,1
12371.0,Switzerland,2179.42,3,2010-03-04 18:23:00,2010-10-26 13:37:00,235,Need Attention,0
12373.0,Austria,763.0500000000001,2,2010-02-04 12:08:00,2010-03-25 13:49:00,49,Hibernating,1
12374.0,Austria,2246.29,3,2010-04-30 14:01:00,2010-10-14 13:31:00,166,Need Attention,0
12376.0,Switzerland,503.15,2,2010-10-18 08:42:00,2010-11-15 12:15:00,28,Potential Loyalists,0
12377.0,Switzerland,1798.2,2,2010-04-29 15:34:00,2010-11-23 19:24:00,208,Potential Loyalists,0
12378.0,Switzerland,1407.7,1,2010-05-26 14:07:00,2010-05-26 14:07:00,0,Hibernating,1
12379.0,Belgium,767.98,2,2010-06-23 12:49:00,2010-10-13 14:46:00,112,About to Sleep,0
12380.0,Belgium,6951.49,7,2010-02-15 12:05:00,2010-08-31 14:54:00,197,Cant Loose,1
12385.0,Belgium,1938.4,1,2010-11-25 15:14:00,2010-11-25 15:14:00,0,New Customers,0
12386.0,Australia,258.9,1,2010-12-08 09:53:00,2010-12-08 09:53:00,0,New Customers,0
12387.0,Australia,143.94,1,2010-10-20 16:27:00,2010-10-20 16:27:00,0,About to Sleep,0
12388.0,Australia,1120.45,2,2010-05-06 12:54:00,2010-09-20 12:41:00,136,Hibernating,0
12389.0,Australia,1433.33,3,2010-02-22 10:15:00,2010-11-02 11:52:00,253,Need Attention,0
12391.0,Cyprus,2312.53,5,2010-02-15 10:12:00,2010-09-01 12:38:00,198,At Risk,1
12392.0,Australia,234.75000000000003,1,2010-04-27 14:04:00,2010-04-27 14:04:00,0,Hibernating,1
12393.0,Australia,816.85,2,2010-10-07 13:49:00,2010-11-22 16:10:00,46,Potential Loyalists,0
12395.0,Belgium,2048.64,4,2010-04-16 10:16:00,2010-12-03 16:35:00,231,Champions,0
12396.0,RSA,931.43,1,2010-02-03 13:22:00,2010-02-03 13:22:00,0,Hibernating,1
12399.0,Belgium,853.65,3,2010-03-05 08:45:00,2010-11-19 08:53:00,259,Potential Loyalists,0
12400.0,Australia,205.25,1,2010-10-21 13:45:00,2010-10-21 13:45:00,0,About to Sleep,0
12402.0,Belgium,1031.3,5,2010-02-07 12:41:00,2010-11-12 09:50:00,277,Loyal Customers,0
12403.0,Denmark,591.6600000000001,1,2010-07-06 11:39:00,2010-07-06 11:39:00,0,Hibernating,0
12404.0,Finland,63.24,1,2010-01-26 16:25:00,2010-01-26 16:25:00,0,Hibernating,1
12406.0,Denmark,2975.06,3,2010-01-11 14:04:00,2010-11-05 11:42:00,297,Potential Loyalists,0
12408.0,Belgium,1452.22,3,2010-07-29 13:27:00,2010-11-19 13:21:00,112,Potential Loyalists,0
12409.0,Switzerland,12346.619999999999,4,2010-05-23 15:21:00,2010-10-15 10:24:00,144,Loyal Customers,0
12410.0,Switzerland,320.38,1,2010-07-25 13:26:00,2010-07-25 13:26:00,0,Hibernating,0
12411.0,Australia,346.9,1,2010-10-26 09:25:00,2010-10-26 09:25:00,0,About to Sleep,0
12412.0,Denmark,1370.05,3,2010-06-18 13:22:00,2010-11-02 17:02:00,137,Need Attention,0
12413.0,Spain,241.35,1,2010-11-02 13:26:00,2010-11-02 13:26:00,0,About to Sleep,0
12414.0,Austria,390.0,3,2010-09-02 12:22:00,2010-09-02 13:47:00,0,At Risk,1
12415.0,Australia,19543.84,7,2010-06-30 08:30:00,2010-11-29 15:07:00,152,Champions,0
12416.0,Australia,202.56,1,2010-02-21 10:19:00,2010-02-21 10:19:00,0,Hibernating,1
12417.0,Belgium,2965.75,10,2009-12-06 10:30:00,2010-10-25 14:27:00,323,Loyal Customers,0
12417.0,Spain,202.06,1,2010-10-01 08:39:00,2010-10-01 08:39:00,0,Loyal Customers,0
12418.0,Switzerland,1352.62,3,2010-03-19 14:47:00,2010-10-22 10:29:00,216,Need Attention,0
12419.0,Spain,503.01,2,2010-10-22 10:40:00,2010-11-19 10:04:00,27,Potential Loyalists,0
